"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_422000","Comités d'entreprises et autres organes représentatifs du personnel","422000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_423000","Personnel, œuvres sociales","423000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_425000","Personnel - rémunérations dues","425000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_426000","Personnel - Dépôts","426000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_427000","Personnel - Oppositions","427000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_428200","Dettes provisionnées pour congés à payer","428200","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_428600","Autres charges à payer","428600","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_428700","Produits à recevoir","428700","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_431000","État - Subventions à recevoir","431000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_432000","État - impôts et taxes retenus à la source","432000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_433100","Timbre fiscale","433100","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_434100","Retenue à la source","434100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_434200","Acomptes provisionnels","434200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_434300","Impôt à liquider","434300","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_434900","Impôts différés","434900","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_435000","Obligations cautionnées","435000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_436510","TVA à payer","436510","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_436580","Autres taxes sur le chiffre d'affaires","436580","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_436620","TVA sur immobilisations 29%","436620","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_436621","TVA sur immobilisations 19%","436621","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_436622","TVA sur immobilisations 13%","436622","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_436623","TVA sur immobilisations 7%","436623","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_436630","TVA transférée par d'autres entreprises","436630","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"True"
